shipment_id,shipment_reference,physical_pallet_count,pallet_mapping_status,source_carton_number,source_carton_count,source_pallet_number,sku,part_number,name_zh,name_en,category,unit,expected_quantity,unit_price_incl_vat_cny,line_amount_cny,product_barcode_source,product_barcode,import_ready,review_issue
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,18#,1,,DM-GWM-0098,2904202XKV1BA,前上摆臂（右）,Right Front Upper Control Arm,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,127.2,508.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,18#,1,,DM-GWM-0110,1001117AGW01A,发动机机脚胶（后）,Rear Engine Mount,传动系统 / Drivetrain,个 / pc,4,127.2,508.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,19#,1,,DM-GWM-0001,1117100XKW09A,燃油滤芯,Fuel Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,4,21.2,84.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,19#,1,,DM-GWM-0003,1111402XED96,燃油滤芯,Fuel Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,10,53,530,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,19#,1,,DM-GWM-0004,1017110XEN01,机油滤芯,Engine Oil Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,20,19.08,381.59999999999997,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,19#,1,,DM-GWM-0009,1017100EG01,机油滤芯,Engine Oil Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,20,10.6,212,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,19#,1,,DM-GWM-0021,1017100-EG01,机油滤芯,Engine Oil Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,20,10.6,212,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,19#,1,,DM-GWM-0027,1017100XEC01,机油滤芯,Engine Oil Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,8,21.2,169.6,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,19#,1,,DM-GWM-0028,1017110XED95,机油滤芯,Engine Oil Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,8,19.08,152.64,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,19#,1,,DM-GWM-0029,1017100XED95,机油滤芯,Engine Oil Filter,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,8,19.08,152.64,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,20#,1,,DM-GWM-0008,3701011XEG71,皮带,Drive Belt,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,6,47.7,286.20000000000005,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,20#,1,,DM-GWM-0011,3701011XED95,皮带,Drive Belt,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,4,47.7,190.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,20#,1,,DM-GWM-0014,1025011XEN01,皮带,Drive Belt,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,6,53,318,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,20#,1,,DM-GWM-0019,1021013XED61,正时皮带,Timing Belt,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,2,137.8,275.6,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,20#,1,,DM-GWM-0020,1021801XED10,正时皮带,Timing Belt,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,2,137.8,275.6,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,20#,1,,DM-GWM-0024,1025014XEDA8,皮带,Drive Belt,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,4,53,212,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,20#,1,,DM-GWM-0025,1025011XEC06,皮带,Drive Belt,保养/机械耗材 / Maintenance / Mechanical Consumables,个 / pc,4,53,212,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,21#,1,,DM-GWM-0082,2904104XPW01A,前下摆臂（左）,Left Front Lower Control Arm,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,233.2,932.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,22#,1,,DM-GWM-0081,2904103XPW01A,前下摆臂（左）,Left Front Lower Control Arm,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,233.2,932.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,23#,1,,DM-GWM-0080,2904104XKV1BA,前下摆臂（右）,Right Front Lower Control Arm,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,254.4,1017.6,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,24#,1,,DM-GWM-0079,2904103XKV1BA,前下摆臂（左）,Left Front Lower Control Arm,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,254.4,1017.6,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,25#,1,,DM-GWM-0070,2904101XPW01A,前上摆臂（左）,Left Front Upper Control Arm,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,127.2,508.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,25#,1,,DM-GWM-0093,2904102XPW01A,前上摆臂（右）,Right Front Upper Control Arm,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,127.2,508.8,products.barcode,,NO,Pallet mapping pending
